Business_Name,Category,Address,Neighborhood,Phone,Website,Description,Specialty
Ali's Roti,Sandwich Shop,1188 Blue Hill Avenue,Mattapan,,,Trinidadian spot open for more than three decades with huge roti sandwiches,Roti sandwiches with curried meat and vegetables
All-Star Sandwich Bar,Sandwich Shop,1245 Cambridge Street,Cambridge,,,Inman Square staple with retro vibe and outrageously comforting menu,Grilled meatloaf sandwich with Jack cheese
Al's Cafes,Sandwich Shop,114 State Street and other locations,Downtown,,,Efficient sandwich assembly with quality sandwiches at reasonable prices,Chicken salad sandwich
Ba Lẹ,Sandwich Shop,1052 Dorchester Avenue,Dorchester,,,Vietnamese shop making stellar bánh mí for decades with crusty baguette-like rolls,Bánh mì sandwiches
Chacarero,Sandwich Shop,101 Arch Street,Downtown,,,Legendary Chilean counter-service place started as downtown pushcart,BBQ beef sandwich with green beans and avocado
Cutty's,Sandwich Shop,284 Washington Street,Brookline,,,Husband-wife chefs elevating sandwiches with top quality ingredients since 2010,Broccoli rabe with tomato jam and mozzarella
Dave's Fresh Pasta,Sandwich Shop,81 Holland Street,Somerville,,,Davis Square mainstay for pasta and provisions with house-roasted meats,Lamb sandwich on olive oil-soaked focaccia
Jim's Deli,Sandwich Shop,371 Washington Street,Brighton,,,Throwback spot established in 1990 near police station and hospital,Steak-and-egg sub with grilled onions
Joe's Famous Steak & Cheese,Sandwich Shop,140 Dudley Street,Roxbury,,,Friendly Nubian Square staple specializing in steak and cheese subs,Steak and cheese with peppers and onions
Meridian Food Market,Sandwich Shop,121 Meridian Street,East Boston,,,Eastie staple featuring Italian classics with generous portions,Meridian Special with chicken cutlets and prosciutto
Monica's Mercato & Salumeria,Sandwich Shop,130 Salem Street,North End,,,North End shop known for perfectly balanced flavors and signature balsamic glaze,Italian sub with prosciutto and mortadella
Pemberton Farms Marketplace,Sandwich Shop,2225 Massachusetts Avenue,Cambridge,,,Family-run market established in 1930 with top quality ingredients,Cuban panini with ham and pulled pork
Pennypacker's,Sandwich Shop,100 High Street (High Street Place Food Hall),Downtown,,,Located in food hall known for exceptional porchetta sandwich,Porchetta sandwich with garlic and herbs
Pikalo,Sandwich Shop,360 Centre Street and another location,Jamaica Plain,,,No-frills Dominican eatery serving hefty empanadas and Caribbean-style sandwiches,Empanadas and patacón (plantain bread sandwich)
Tenóch Mexican,Sandwich Shop,382 Highland Avenue and other locations,Somerville,,,Home-grown mini-chain known for husky tortas with marinated meat,Tortas with marinated meat and chipotle mayo
Tostado Sandwich Bar,Sandwich Shop,300 Centre Street,Jamaica Plain,,,Friendly Dominican shop serving made-to-order sandwiches including classic Cubano,Cubano with shredded pork and mojo sauce
